"META"	"META"	"META"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"PAR"	"CLASS"
"recno"	"FileName"	"ID"	"f1"	"f2"	"f3"	"amp11"	"amp12"	"amp13"	"amp14"	"amp21"	"amp22"	"amp23"	"amp24"	"amp31"	"amp32"	"amp33"	"amp34"	"phi12"	"phi13"	"phi14"	"phi21"	"phi22"	"phi23"	"phi24"	"phi31"	"phi32"	"phi33"	"phi34"	"trend"	"varrat"	"varred"	"CLASS"
"       1"	"c-43148.hip                "	"HIP 43148             "	"  14.16680018"	"   6.39003388"	"  12.24509744"	" 0.0055"	" 0.0011"	" 0.0017"	" 0.0021"	" 0.0036"	" 0.0023"	" 0.0005"	" 0.0030"	" 0.0032"	" 0.0005"	" 0.0005"	" 0.0006"	"-0.1419"	" 1.6813"	"-0.5209"	" 1.4681"	"-2.9530"	" 1.1786"	"-2.1483"	"-2.5498"	" 2.5157"	" 1.0019"	" 2.1560"	" 0.0000"	"0.6926"	"0.6829"	"PVSG"
"       2"	"c-11769.hip                "	"HIP 11769             "	"   0.17295556"	"   3.10874115"	"   4.75666379"	" 0.0149"	" 0.0042"	" 0.0016"	" 0.0024"	" 0.0082"	" 0.0058"	" 0.0009"	" 0.0017"	" 0.0092"	" 0.0020"	" 0.0001"	" 0.0044"	" 2.5990"	"-1.3764"	"-1.5200"	"-0.0280"	"-2.5128"	"-1.1737"	"-2.9472"	"-2.4622"	"-1.6034"	" 2.6655"	" 1.5746"	" 0.0000"	"0.5935"	"0.6946"	"PVSG"
"       3"	"c-42570.hip                "	"HIP 42570             "	"   0.11736512"	"  11.12666353"	"   0.71596186"	" 0.0104"	" 0.0058"	" 0.0024"	" 0.0023"	" 0.0089"	" 0.0010"	" 0.0003"	" 0.0034"	" 0.0083"	" 0.0017"	" 0.0022"	" 0.0023"	" 0.6736"	"-2.3066"	" 2.0421"	" 2.7931"	" 0.1059"	" 1.3260"	"-2.8532"	" 1.9856"	" 0.0300"	" 0.4196"	" 1.0339"	" 0.0000"	"0.5504"	"0.8474"	"PVSG"
"       4"	"c-89956.hip                "	"HIP 89956             "	"   0.20362787"	"   1.30414683"	"   1.14548640"	" 0.0567"	" 0.0151"	" 0.0346"	" 0.0167"	" 0.0402"	" 0.0073"	" 0.0107"	" 0.0011"	" 0.0210"	" 0.0079"	" 0.0119"	" 0.0048"	" 3.0403"	" 1.9752"	" 1.0736"	" 0.7193"	"-1.0021"	"-3.1068"	"-1.6216"	"-1.0590"	" 2.1631"	"-2.5594"	"-2.2828"	" 0.0000"	"0.2540"	"0.9537"	"PVSG"
"       5"	"c-25815.hip                "	"HIP 25815             "	"   7.27846958"	"  13.72169248"	"   9.63352210"	" 0.0331"	" 0.0022"	" 0.0183"	" 0.0128"	" 0.0268"	" 0.0076"	" 0.0015"	" 0.0020"	" 0.0249"	" 0.0065"	" 0.0093"	" 0.0031"	"-2.9287"	"-2.1418"	" 0.8040"	"-1.9861"	"-2.4383"	"-2.1695"	"-1.0503"	" 1.1808"	"-1.9935"	"-2.2132"	"-2.7232"	" 0.0000"	"0.6155"	"0.6737"	"PVSG"
"       6"	"c-42587.hip                "	"HIP 42587             "	"   0.12831172"	"   2.01116941"	"   6.49939580"	" 0.0154"	" 0.0072"	" 0.0061"	" 0.0062"	" 0.0056"	" 0.0052"	" 0.0019"	" 0.0025"	" 0.0059"	" 0.0020"	" 0.0021"	" 0.0014"	" 0.8217"	" 1.5867"	" 1.9140"	" 2.7316"	"-0.6155"	"-0.1084"	"-0.4626"	" 0.1115"	" 2.4523"	" 2.3110"	"-2.5815"	" 0.0000"	"0.5825"	"0.7009"	"PVSG"
"       7"	"c-89963.hip                "	"HIP 89963             "	"   1.09067103"	"   1.71898348"	"   9.73611196"	" 0.0395"	" 0.0035"	" 0.0060"	" 0.0106"	" 0.0297"	" 0.0100"	" 0.0061"	" 0.0015"	" 0.0156"	" 0.0021"	" 0.0035"	" 0.0019"	"-0.7192"	"-2.2151"	"-1.8616"	" 3.0583"	"-1.6100"	" 0.3594"	"-2.4227"	" 2.7228"	" 0.3884"	" 1.4827"	" 1.2222"	" 0.0000"	"0.4115"	"0.8685"	"PVSG"
"       8"	"c-94564.hip                "	"HIP 94564             "	"   2.54656455"	"  10.27595960"	"  12.99902429"	" 0.0072"	" 0.0018"	" 0.0026"	" 0.0012"	" 0.0063"	" 0.0024"	" 0.0017"	" 0.0011"	" 0.0048"	" 0.0018"	" 0.0021"	" 0.0007"	"-1.2363"	"-2.5507"	"-1.6551"	" 0.1946"	"-0.6550"	"-1.1015"	" 0.0210"	"-2.3889"	" 1.5598"	"-2.6402"	" 1.1747"	" 0.0000"	"0.7202"	"0.7034"	"PVSG"
"       9"	"c-5397.hip                 "	"HIP 5397              "	"   9.90956378"	"  10.11722305"	"   3.34870356"	" 0.0264"	" 0.0059"	" 0.0031"	" 0.0090"	" 0.0258"	" 0.0087"	" 0.0066"	" 0.0063"	" 0.0224"	" 0.0018"	" 0.0059"	" 0.0026"	" 2.0660"	"-0.7568"	"-1.6625"	"-1.4308"	" 1.5818"	"-0.1127"	" 0.8952"	" 0.0975"	"-0.1499"	"-3.0270"	" 2.5248"	" 0.0000"	"0.7332"	"0.5687"	"PVSG"
"      10"	"c-31766.hip                "	"HIP 31766             "	"   0.26417384"	"  12.63524817"	"   4.08147188"	" 0.0212"	" 0.0045"	" 0.0052"	" 0.0028"	" 0.0073"	" 0.0021"	" 0.0017"	" 0.0022"	" 0.0048"	" 0.0009"	" 0.0008"	" 0.0014"	" 1.2967"	" 0.2087"	" 2.0623"	" 0.6591"	" 0.3826"	"-2.4091"	" 2.6172"	" 2.3916"	" 1.4543"	"-0.0899"	" 2.9416"	" 0.0000"	"0.2589"	"0.8985"	"PVSG"
"      11"	"c-25892.hip                "	"HIP 25892             "	"  11.48496002"	"  15.24770850"	"   5.63645067"	" 0.0235"	" 0.0016"	" 0.0031"	" 0.0126"	" 0.0185"	" 0.0077"	" 0.0011"	" 0.0043"	" 0.0172"	" 0.0050"	" 0.0011"	" 0.0022"	"-0.0774"	" 0.6889"	" 2.4346"	" 0.6076"	" 0.3704"	"-1.6084"	"-0.2909"	" 2.9331"	"-0.5933"	"-2.2490"	" 1.4474"	" 0.0001"	"0.6009"	"0.7192"	"PVSG"
"      12"	"c-51676.hip                "	"HIP 51676             "	"   0.43371595"	"  11.47423975"	"   5.92580151"	" 0.0193"	" 0.0024"	" 0.0048"	" 0.0020"	" 0.0104"	" 0.0028"	" 0.0025"	" 0.0022"	" 0.0059"	" 0.0034"	" 0.0023"	" 0.0017"	"-2.1284"	" 1.3192"	"-2.0265"	"-0.6529"	"-0.6112"	"-1.6057"	"-1.6869"	"-3.0624"	" 1.8237"	" 2.0468"	"-0.8565"	" 0.0000"	"0.5190"	"0.8310"	"PVSG"
